Topic,Keywords
-1,"samarbejde, udvikling, praksis, aktiviteter, trivsel, når, kompetencer, hele, ligger, udvikle, tilgang, forventer, kollega, tværs, uddannet, anerkendende, brug, tager, ansvar, tilbyder, støtte, fællesskab, kontakte, indgå, rammer, ca, brænder, inden, vægter, sparring, spændende, udgangspunkt, leg, forhold, maj, dagtilbud, henhold, samtaler, pr, udfordringer, team, fordelt, relationer, giver, består"
0,"støtte, sociale, social, beboere, tilgang, uddannelse, samarbejde, supervision, medarbejder, udvikling, tilbyder, socialpædagogisk, udfordringer, personlig, målgruppen, kørekort, beboerne, herunder, team, socialfaglige, indsats, kompetencer, uddannet, botilbud, unges, egne, aktiviteter, tilbud, praktiske, udsatte, yderligere, fysisk, tværfagligt, socialfaglig, kolleger, botilbuddet, individuelle, kendskab, forventer, miljø, sikre, hjem, psykisk, kontakte, arbejdsmiljø"
1,"team, udvikling, samarbejde, støtte, familier, forventer, aktiviteter, vægter, idræt, leg, vigtigt, trivsel, bl, læring, rammer, kontakte, maj, grupper, familiebehandling, kollega, hele, bfc, tilbyder, teams, uddannet, tlf, dit, børnehave, fællesskab, hvilket, anerkendende, valby, består, tværs, ansvar, udvikle, stort, læse, relationer, teamet, indgå, straffeattest, læringsmiljøer, tilgang, går"
2,"børnehavegrupper, udvikling, vuggestuen, vuggestue, pr, integreret, praksis, samarbejde, børnehave, personalegruppe, leg, relationer, vuggestuegrupper, anerkendende, rammer, nærvær, fordelt, dagtilbud, stuer, grupper, trivsel, hele, tværs, vægter, vuggestuebørn, læringsmiljøer, udvikle, derudover, gruppe, straffeattest, børnecenter, optaget, læring, normeret, ansvar, tryghed, ca, børnehaven, sted, nærværende, kontakte, læse, grønne, km, tilgang"
3,"læringsmiljøer, udvikling, tilbyder, hele, samarbejde, læring, udvikle, nysgerrige, metoder, snekkersten, trivsel, tlf, tilgang, eleverne, undervisning, inden, tre, kvalitet, brovst, skolens, kolleger, støtte, tager, solhuset, ca, unges, tilbuddet, kompetencer, vægt, mål, udgangspunkt, tilbud, stort, mangfoldige, særforanstaltninger, selvstændigt, anerkendende, engagerede, aktiviteter, barnet, tid, dagtilbud, særligt, leapsskole, høre"
4,"faste, stillinger, ppr, inden, samarbejde, forhold, stillingerne, specialpædagogiske, lindevang, vestermarkskolen, vejledning, tilgang, børneattest, ventemøllegården, etnisk, skoler, søge, støtte, undervisning, udvikling, ogeller, friskolen, køn, fællesskab, indhentes, udsigten, praksis, tale, aktivitets, boselv, baggrund, uanset, dk, dagtilbud, egelunden, ligger, funktionsniveau, august, krap, tværfaglige, engagerede, døvblindhed, spændende, aktiviteter, oplever"
5,"humor, børnegård, læring, volden, åskolen, vejrup, udvikling, samarbejde, vesterbro, birkemosen, børnehave, børns, trivsel, fællesskab, dit, ca, bedste, hele, består, leute, rammer, skibet, klasse, vægter, tilbyder, yderligere, dk, skolens, opleve, sognefogedgården, havbrisen, personalegruppe, kontakte, praksis, kollega, alderen, nærværende, kolbøttehuset, privatskole, gården, møllehøjskolen, tid, tryghed, kreativitet, udvikle"
6,"livsværk, døgncentret, fællesskab, forstander, nydam, familier, klubben, børne, selvejende, hele, samarbejde, giver, aktiviteter, når, ungiaarhus, indsatser, maj, relationer, generationernes, tilgang, sætter, klubbens, landsforeningen, unik, ledelse, grønne, stjernestøv, lykkely, strategi, straffeattest, års, nærværende, forskel, samtidig, organisation, sker, lang, institutioner, organisationen, læs, passioneret, supervision, vide, spændende, vægter"
7,"natur, bakkely, naturen, mikkelborg, vuggestue, udeliv, stockholmsgave, sejlhuset, udvikling, nim, blære, børnehus, fællesskab, børnehave, tværs, strynø, skattekisten, samarbejde, kolleger, brænder, nærværende, møder, praksis, klynge, grønne, bidrager, børnehaven, tilbyde, pr, uddannet, kollegialt, vægter, personalegruppe, aktiviteter, ann, afsæt, barnets, trivsel, regnskoven, ude, fordelt, børneliv, klasse, tage, udflugter"
8,"august, udvikling, samarbejde, bevægelse, årgang, børnehaveklasseledere, læring, strib, kollega, trivsel, mangfoldige, elevernes, udvikle, kultur, undervisning, læringsmiljøer, bedste, amager, skolens, glæde, ahornhuset, dokumentation, marjattas, indstillet, børneattest, består, indgå, kompetencer, lokale, besøg, yderligere, gang, tværs, jelling, tlf, personale, afdeling, anerkendende, spændende, tilknyttet, engageret, vægter, barselsvikariat, travlt, tilgang"
9,"læring, grupper, børnehus, børnehaven, udvikling, regnskoven, eremitagen, dannelse, børnehavebørn, vuggestuen, læringsmiljøer, aktiviteter, barnets, samarbejde, drømmer, planet, strib, praksis, blå, pædagogik, vide, tre, normeret, fleksibel, kragsbjerg, trivsel, anerkendende, kolleger, vuggestuebørn, understøtte, fordelt, brænder, glæde, leg, saxen, ansøgningsfrist, alderen, centrum, nærværende, børnesyn, projekter, ansvar, sker, positiv, små"
10,"private, børnehave, bullerup, troldhøj, kagså, kastaniehuset, privat, skt, klemens, vuggestue, skovbrynet, bosted, skyttebjerg, trygge, sætte, daginstitution, stefansgårdens, børnehus, åben, beboerne, udvikling, løb, udtalelser, nest, rolig, vægter, alvor, tilbyder, motion, maj, institutionens, afgørende, legeplads, brænder, vægt, tilgang, hverdagen, udendørs, integreret, krudthuset, bruges, dagen, motiverende, dkeller, samtidig"
11,"miljø, randersgades, selmers, inspirerende, ssa, udvikling, passioneret, læring, frem, com, inkluderer, støttende, passion, forskel, dedikeret, evnen, engageret, inden, trivsel, kkfo, samarbejde, etiske, skovbørnehaven, team, såvel, play, børnehus, brænder, leg, værdsætter, kollega, inkluderende, børns, juli, naturen, hvalsø, søholm, tudsen, rulleskema, tilbirgittesoeholm, soeholm, bidrage, comeller, færdigheder, aktivt"
12,"vigtigt, mangler, sundbyøster, står, brænder, grønnegården, skovvej, tværs, aktiviteter, leg, skaber, bedste, gl, når, ugen, udvikler, vuggestuen, læringshuset, dagtilbud, kollega, hjælper, børnehave, maj, uddannet, børns, helt, naturskønt, masser, tage, relationer, forza, lege, sætter, falder, sted, voksnes, mentaliserende, bevægelse, dage, trivsel, glad, mentalisering, nuværende, respekt, fællesskab"
13,"rette, autisme, dreng, hjælper, infantil, støtte, svære, stede, hjem, logget, velfærdsleverandører, rådgiver, når, ydelser, empati, behovet, rekrutteringskonsulent, kender, betydningen, svar, relation, match, arbejdsskadeforsikring, slet, søge, stræber, ansvars, undgå, ældste, danmarks, opgaven, situationer, landsoverenskomst, handicaphjælp, menneskeri, årig, minus, duosholdet, bpa, vagttelefon, kontorets, tilbyderdu, dækket, brug, bemandet"
14,"børnehus, mælkevejen, ønskeøen, storring, lundegården, pædagogikken, lege, planlægning, verden, barn, møder, udvikling, dialog, ledelse, tager, barnet, fællesskabet, forældresamarbejde, læringsmiljøer, pædagogik, samarbejde, bedste, inspirerende, små, kolleger, fællesskab, personalegruppe, store, enkeltintegrerede, kollerup, justering, praksis, arbejdes, tværs, tilbyderet, tydelig, afsæt, børnehaven, samarbejder, legeplads, tryg, positiv, leg, dit, overblik"
15,"lundø, galaksen, michaelsens, minde, jacob, kognitiv, handicapformidlingen, havnely, gullfossgade, befinder, vuggestue, vuggestuen, trivsel, æblekassen, består, aktiviteter, bus, positiv, fællesskab, afdeling, piraterne, misbrugsbehandler, udebanen, skovshoved, unges, ridning, inden, udvikling, kat, adfærdsterapi, rytmik, tilgang, interesse, opholdssteder, første, rette, tage, vokse, samarbejde, aflastning, tog, uddannet, velfungerende, frist, opgave"
16,"kriminalforsorgen, troldehøj, viden, ungetilsynsførende, lagunen, beboerne, vanløse, hammershøj, afgørelse, døvblindhed, tilsyn, ungekriminalforsorgen, positiv, struktureret, fritidscenter, ca, beboer, gudenådalen, forbedringsforløbet, området, ungdomskriminalitetsnævnet, gladsaxes, praksis, udvikling, uddannelse, henhold, indgå, miljøterapeutiske, barnets, uanset, ånd, maj, helt, tid, samtalen, kompetencer, bedst, børnehusleder, egeholm, fagkonsulent, afgørelser, relevant, baggrund, køn, professionel"
17,"prinsessegårdene, asta, klyngeleder, team, søborg, sprog, engagerede, institutioner, velfungerende, udvikling, ledere, drømme, institutions, selvledelse, vls, desuden, mod, medarbejderne, samtaler, nytænkning, oplysningeransøgningsfrist, benediktegårdenogannemariegården, medarbejderinvolvering, beskytter, daginstitutionsklynge, værdsættermangfoldighed, trioer, bestyrelser, frisættende, østergaardcoeflsmidth, tæft, østerby, overveje, institutionsdrift, ledelsesrum, forældreudvalg, arbejdsområdersom, itpædagog, fåren, kunstformidler, motiverede, trygt, højby, rymarksvej, engagerende"
18,"dagplejen, lundtofte, ingstrup, rødkælken, udvikling, kollegium, overlund, dagplejere, ansættelsesforhold, dygtig, beboere, tage, glade, trivsel, børnehave, trivselsskole, dagplejens, hine, ca, praksis, ugen, grønttorvet, else, støttecenter, dsi, hedegaard, beboerne, klasse, link, læring, referencer, udgangspunkt, ligger, individuelle, samarbejde, læse, fuldtidsstilling, rigtige, forventer, tilbyde, forskel, dejlige, understøtte, aktiviteter, respekt"
19,"skovlund, emans, elverhøj, store, mosehuset, vægter, borger, derudover, sampovig, arbejdstid, samarbejde, ta, sætte, relationsdannelse, ugen, lykkes, borgerens, spontane, aktiviteter, tid, forstand, linket, fx, centrum, fællesskab, medlemmerne, musik, støtte, yderligere, giver, pr, mødt, trivsel, aktivitetscenter, komme, udvikling, mangler, lyder, fællesskabet, telefon, omsorg, bidrager, centret, skoleåret, dagen"
20,"rudolf, steiner, solhjem, vægt, lægger, udviklingshæmmede, hadruplund, marjattas, pædagogikken, sangleg, kunstnerisk, junglebo, indenfor, børnehave, www, årstidsfester, værkstedet, steiners, skovbørnehave, mail, privat, oplevelsesorienteret, fagpersonligt, solhjemaarhus, babuska, begejstring, syd, sammenlagt, snesere, hylder, steinerpædagogikken, udenfor, vagterne, positiv, materialer, årstider, træ, dkfor, uddannet, interesse, genkendeligt, udviklingsmiljø, børnehaveafdeling, trygt, nordstjernen"
21,"leg, skovhuset, dagtilbud, trivsel, viser, fantastiske, pr, læring, bredere, udvikling, eventyrhuset, sted, læringsmiljøer, pædagogikken, samarbejde, sende, aktiviteter, sø, sikre, dannelse, observationer, rundvisning, legeplads, nysgerrig, børnehus, nysgerrige, studerende, siger, tilknytning, åbyhøj, komme, deler, fredag, brædstrup, tilbyde, hele, kontakt, naturlig, fantastisk, når, nest, skoven, reflekteret, maj, værdi"
22,"specialfritidsinstitutionen, brædstrup, rast, centerklasserne, udviklende, midgård, kategori, dyvekeskolen, tilknyttet, samarbejde, udvikle, indenfor, udvikling, nexus, fritidstilbud, low, læring, indsats, morgenåbning, tilbud, metoder, aktiviteter, autismespektret, spændende, øvrige, langmarkskolen, tilgang, profil, kolleger, brug, mod, skoledelen, ansat, lokaler, ideer, gavn, trygt, ligeledes, sikre, hverdagen, inden, klasser, ca, samværstilbud, fordel"
23,"villa, tumlehuset, bedste, slottet, berthe, børnelandet, udvikling, vanløse, betydning, gammel, bidrage, vuggestue, dit, haletudserne, årlige, personalemøder, forældremøder, nærvær, indhenter, vuggestuebørn, vægter, vuggestuegrupper, klyngens, daginstitution, amalie, sætte, barnet, udgangspunkt, forbindelse, initiativer, tre, ansvar, tage, humlebien, ansættelsen, referencer, personalegruppe, imødekommende, valby, skønne, fyldt, mulig, nærværende, læringsmiljøer, team"
24,"muslingen, lærere, høsterkøb, placeret, dannelse, mødet, afdeling, ansøgningen, skov, søge, opfordrer, regnbuen, alder, hvidebækskolen, rude, ellemosevej, uhrhøj, fjordhuset, online, samarbejde, bruge, udvikle, vide, forhold, ældste, handicap, mappe, uønsket, mailen, køn, afdelinger, udvikling, struktureret, person, hjælp, post, ca, trivsel, sendt, uanset, jobbetvi, etnisk, børnesyn, senest, kvittering"
